Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
"""Pee Wee"" & ""Fingers""",,"Hunt, W. Geerhart III & Joe Carr",,Jazz,,,,,,2,,,,,,
The Hits of Harry James,,"James, Harry ",,Jazz,,,,,,2,,,,,,
Double Dixie! Harry James,,"James, Harry and his Big Band... Plus the Dixieland Five!",,Jazz,,,,,,2,,,,,,
Give a Damn,,"Jolly, Pete",,Jazz,,,,,,2,,,,,,
Herb Alpert Presents Pete Jolly,,"Jolly, Pete",,Jazz,,,,,,2,,,,,,
When Lights are Low,,"Jolly, Pete",,Jazz,,,,,,2,,,,,,
Summit Meeting,,"Jones, Elvin, James Moody, Clark Terry, Bunky Green, Roland Prince",,Jazz,,,,,,2,,,,,,
Jung! The Big Band Syndrome,,"Jung, Bob",,Jazz,,,,,,2,,,,,,
Intimate Swing,,"Kirby, John & his quintet",,Jazz,,,,,,2,,,,,,
A Night at the Symphony,,Laufey,,Jazz,,,,,,2,,,,,,
Julie is Her Name,,"London, Julie",,Jazz,,,,,,2,,,,,,
"""Manna Overboard!!""",,"Manna, Charlie",,Jazz,,,,,,2,,,,,,
"Open Fire, Two Guitars",,"Mathis, Johnny",,Jazz,,,,,,2,,,,,,
It Seems Like Only Yesterday,,"McIntyre, Hal & his Orchestra",,Jazz,,,,,,2,,,,,,
Pure Gold,,"Miller, Glenn",,Jazz,,,,,,3,,,,,,
The Golden Hits from His Original Sound Tracks,,"Miller, Glenn",,Jazz,,,,,,3,,,,,,
The Toni Touch,,Miss Toni Rami and Her Big Band,,Jazz,,,,,,3,,,,,,
Jazz of the Roaring Twenties,,"Neely, Don's Royal Society Jazz Orchestra",,Jazz,,,,,,3,,,,,,
Winchester Cathedral,,New Vaudeville Band,,Jazz,,,,,,3,,,,,,
The Early Bird,,"Parker, Charlie, and Miles Davis",,Jazz,,,,,,3,,,,,,
El Unico,,"Prado, Perez",,Jazz,,,,,,3,,,,,,
Fraternity Rush,,"Raeburn, Boyd",,Jazz,,,,,,3,,,,,,
2000 Years With,,"Reiner, Carl & Mel Brooks",,Jazz,,,,,,3,,,,,,
Wide Range,,"Richards, Johnny",,Jazz,,,,,,3,,,,,,
Jimmy Rivers and Friends,,"Rivers, Jimmy",,Jazz,,,,,,3,,,,,,
Jazz Comes to the Astor,,"Rodgers, Gene Trio",,Jazz,,,,,,3,,,,,,
Rushing Lullabies,,"Rushing, Jimmy",,Jazz,,,,,,3,,,,,,
A Man and his Dream,,"Shaw, Artie ",,Jazz,,,,,,3,,,,,,
Artie Shaw and his Gramercy Five...,,"Shaw, Artie ",,Jazz,,,,,,3,,,,,,
The Great Artie Shaw,,"Shaw, Artie ",,Jazz,,,,,,3,,,,,,
This is Artie Shaw,,"Shaw, Artie ",,Jazz,,,,,,3,,,,,,
Francis A. & Edward K.,,"Sinatra, Frank & Duke Ellington",,Jazz,,,,,,3,,,,,,
Live at the Royal Albert Hall,,Snarky Puppy,,Jazz,,,,,,3,,,,,,
The Hilarious Spike Jones!,,Spike Jones,,Jazz,,,,,,3,,,,,,
The Return of Jess Stacy,,"Stacy, Jess",,Jazz,,,,,,3,,,,,,
Shine,,"Stephens, Cheryl",,Jazz,,,,,,3,,,,,,
Lotus Blossom,,"Stephens, Cheryl with the Desert City Six",,Jazz,,,,,,3,,,,,,
Piano Magic,,"Tatum, Art ",,Jazz,,,,,,3,,,,,,
Piano Starts Here,,"Tatum, Art ",,Jazz,,,,,,3,,,,,,
Play for Dancing,,"Thornhill, Claude",,Jazz,,,,,,3,,,,,,
"I Dig the Duke, I Dig the Count",,"Tormé, Mel",,Jazz,,,,,,3,,,,,,
"""The Most"" Volume 1",,Various,,Jazz,,,,,,3,,,,,,
"""The Most"" Volume 2",,Various,,Jazz,,,,,,3,,,,,,
"""The Most"" Volume 3",,Various,,Jazz,,,,,,3,,,,,,
Big Band Bossa Nova,,Various,,Jazz,,,,,,3,,,,,,
Big Band Jazz: From the Begginings to the Fifties,,Various,,Jazz,,,,,,3,,,,,,
Collector's History Of Classic Jazz,,Various,,Jazz,,,,,,3,,,,,,
Here Come the Swinging Bands,,Various,,Jazz,,,,,,3,,,,,,
Jazz Greats,,Various,,Jazz,,,,,,3,,,,,,
